place_id,name,types,rating,user_ratings_total,price_level,lat,lon,vicinity,business_status,editorial_summary,website,international_phone_number,cuisine_detected,cuisine_source,top_review_language,top_language_share,n_reviews_fetched,review_language_counts_json,grid_id,log_reviews,cuisine,brand_name_clean,is_chain,type_restaurant,type_cafe,type_bar,type_meal_takeaway,type_meal_delivery,type_bakery,type_night_club,type_store,expected_rating,hype_residual
ChIJGcH7bf6mZ0gRlDMFlCjLK1A,Sika Restaurant,"establishment,food,point_of_interest,restaurant",4.0,87.0,2.0,53.1851898,-6.1801914,"Powerscourt Hotel, Powerscourt Demesne, Enniskerry",OPERATIONAL,,https://www.powerscourthotel.com/dining/sika-restaurant-wicklow/?utm_source=mybusinessSIKA&utm_medium=organic,+353 1 274 8888,unknown,,en,1.0,5,"{""en"": 5}",12,4.477336814478207,unknown,,0,1,0,0,0,0,0,0,0,4.339825026988493,-0.3398250269884926
ChIJXRwfD6ynZ0gRt9QenePy9lI,The Enniskerry Inn,"bar,establishment,food,lodging,point_of_interest,restaurant",4.3,665.0,,53.1924371,-6.1699335,"Church Hill, Kilgarran, Enniskerry",OPERATIONAL,"Rustic-chic pub offering understated rooms, plus dining, a courtyard garden & regular live music.",http://www.theenniskerryinn.ie/,+353 1 273 4992,pub,name,en,1.0,5,"{""en"": 5}",13,6.501289670540389,pub,,0,1,0,1,0,0,0,0,0,4.376177226437893,-0.07617722643789282
ChIJRz8x5aunZ0gR0fd07AbwF90,Emilia's Restaurant,"establishment,food,point_of_interest,restaurant",4.4,210.0,2.0,53.1925688,-6.170228199999999,"Main St, Kilgarran, Enniskerry",OPERATIONAL,,,+353 1 276 1834,italian,reviews,en,1.0,5,"{""en"": 5}",13,5.351858133476067,italian,,0,1,0,0,0,0,0,0,0,4.362480153764035,0.03751984623596538
ChIJ0ROc-aunZ0gRUzMMVAGAMco,Kingfishers Kitchen,"cafe,establishment,food,point_of_interest,restaurant",4.2,389.0,2.0,53.1927353,-6.170924599999999,"Fountain View, Main St, The Square, Enniskerry",OPERATIONAL,,https://www.facebook.com/profile.php?id=100041687392557,+353 1 276 4859,unknown,,en,1.0,5,"{""en"": 5}",13,5.966146739123692,unknown,,0,1,1,0,0,0,0,0,0,4.37946040294911,-0.17946040294911025
ChIJf-kk4hWmZ0gRfzP0tfQV-rk,Avoca Fern House Cafe,"cafe,establishment,food,point_of_interest,restaurant",4.5,576.0,2.0,53.1728544,-6.142060600000001,"Glencormick South, Kilmacanogue",OPERATIONAL,,https://www.avoca.com/en/stores-and-cafes/kilmacanoge?utm_source=google-my-business/kilmacanoge-fern-house-restaurant&utm_medium=organic&utm_campaign=web-link&utm_content=,+353 1 274 6990,unknown,,en,1.0,5,"{""en"": 5}",14,6.3578422665081,unknown,,0,1,1,0,0,0,0,0,0,4.37946040294911,0.12053959705088957
ChIJS3L9rj6mZ0gRIWwJnVKs5iM,Pluck's Bar,"bar,establishment,food,point_of_interest,restaurant",4.3,892.0,2.0,53.1686017,-6.136774900000001,"Glencap Commons North, Kilmacanogue",OPERATIONAL,,,,italian,reviews,en,1.0,5,"{""en"": 5}",14,6.794586580876499,italian,,0,1,0,1,0,0,0,0,0,4.380490067791865,-0.08049006779186474
ChIJV_fjcPCnZ0gRWzz7W3DYD_k,Berto's Pizzeria and Cafe,"establishment,food,point_of_interest,restaurant",4.3,101.0,,53.1685785,-6.136849499999999,Glencap Commons North,OPERATIONAL,,http://bertos.ie/,+353 1 224 1010,italian,reviews,en,1.0,5,"{""en"": 5}",14,4.624972813284271,italian,,0,1,0,0,0,0,0,0,0,4.359852177839365,-0.059852177839364806
ChIJVVzV2I6oZ0gR2cWMviKq0J4,Killruddery,"cafe,establishment,food,museum,point_of_interest,restaurant,store,tourist_attraction",4.7,1780.0,,53.181892,-6.1039029,"Southern Cross Rd, Kilruddery Demesne West, Bray",OPERATIONAL,"Elegant 19th-century house with elaborate gardens, conservatory, theatre and monthly farm market.",http://www.killruddery.com/,+353 1 286 3405,italian,reviews,en,1.0,5,"{""en"": 5}",15,7.484930283289661,italian,,0,1,1,0,0,0,0,0,1,4.4666254372124055,0.23337456278759472
ChIJl3ry3CqmZ0gRUbZEuLQHv4g,Domino's Pizza - Bray,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",4.1,322.0,2.0,53.18916979999999,-6.1222455,"Unit 11, Boghall Shopping Centre, Boghall Rd, Oldcourt, Bray",OPERATIONAL,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,https://www.dominos.ie/pizza-near-me/bray/unit-11-boghall-shopping-centre?utm_source=gmb&utm_medium=yext&y_source=1_MTIxMzc2ODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+353 1 282 8888,italian,name,en,1.0,5,"{""en"": 5}",15,5.777652323222656,italian,,0,1,0,0,1,1,0,0,0,4.056085632983587,0.043914367016412825
ChIJZ3KyD4OoZ0gRTCsiVqf3NVY,Coffee Delights,"cafe,establishment,food,point_of_interest,restaurant,store",4.5,809.0,1.0,53.1823826,-6.1184243,"Industrial Development Agency Business Park, Southern Cross Rd, Irishtown, Bray",OPERATIONAL,,,+353 1 273 6920,unknown,,en,1.0,5,"{""en"": 5}",15,6.697034247666484,unknown,,0,1,1,0,0,0,0,0,1,4.477553492979684,0.02244650702031592
ChIJ_adGvyqmZ0gRzsmAXOLbm0M,Regal Fare,"establishment,food,point_of_interest,restaurant",4.4,87.0,1.0,53.1891763,-6.122346599999999,"Boghall Shopping Centre, Unit 10, Bray",OPERATIONAL,,,+353 1 282 8585,american,reviews,en,1.0,5,"{""en"": 5}",15,4.477336814478207,american,,0,1,0,0,0,0,0,0,0,4.051008691405649,0.3489913085943517
